=== E2 encoder start Tue Aug 25 11:27:28 AM AEST 2026 ===
[crb_enc_mse_cyclic_full_spare] device=cuda:1 | UNetCRB params=1.06M | loss=lung-masked MSE | no D | CRB=encoder-only | cyclic(θ) cond_dim=4 | seed=20260824
[crb_enc_mse_cyclic_full_spare] train 12960 (810 pairs × 16) | val 720 (90 pairs × 8) | train patients=['P1', 'P2', 'P3', 'P4', 'P5', 'P6', 'P7', 'P8', 'P9']
Epoch: 41 | train MSE: 0.023413 | val MSE: 0.033631 | total time: 2 hours 39 minutes
Epoch: 42 | train MSE: 0.022884 | val MSE: 0.034913 | total time: 2 hours 43 minutes
Epoch: 43 | train MSE: 0.022925 | val MSE: 0.032702 | total time: 2 hours 47 minutes
Epoch: 44 | train MSE: 0.022567 | val MSE: 0.033977 | total time: 2 hours 51 minutes
Epoch: 45 | train MSE: 0.022606 | val MSE: 0.031750 | total time: 2 hours 55 minutes
Epoch: 46 | train MSE: 0.021999 | val MSE: 0.032847 | total time: 2 hours 59 minutes
Epoch: 47 | train MSE: 0.022011 | val MSE: 0.032733 | total time: 3 hours 3 minutes
Epoch: 48 | train MSE: 0.021672 | val MSE: 0.032013 | total time: 3 hours 7 minutes
Epoch: 49 | train MSE: 0.021397 | val MSE: 0.032049 | total time: 3 hours 11 minutes
Epoch: 50 | train MSE: 0.021315 | val MSE: 0.031508 | total time: 3 hours 14 minutes
Epoch: 51 | train MSE: 0.021005 | val MSE: 0.033705 | total time: 3 hours 18 minutes
Epoch: 52 | train MSE: 0.021106 | val MSE: 0.029252 | total time: 3 hours 22 minutes
Epoch: 53 | train MSE: 0.020976 | val MSE: 0.030143 | total time: 3 hours 26 minutes
Epoch: 54 | train MSE: 0.020686 | val MSE: 0.032993 | total time: 3 hours 30 minutes
Epoch: 55 | train MSE: 0.020314 | val MSE: 0.030891 | total time: 3 hours 34 minutes
Epoch: 56 | train MSE: 0.020226 | val MSE: 0.032377 | total time: 3 hours 38 minutes
Epoch: 57 | train MSE: 0.020023 | val MSE: 0.030576 | total time: 3 hours 42 minutes
Epoch: 58 | train MSE: 0.020077 | val MSE: 0.030683 | total time: 3 hours 46 minutes
Epoch: 59 | train MSE: 0.019580 | val MSE: 0.029000 | total time: 3 hours 50 minutes
Epoch: 60 | train MSE: 0.019561 | val MSE: 0.028877 | total time: 3 hours 53 minutes
Epoch: 61 | train MSE: 0.019284 | val MSE: 0.030733 | total time: 3 hours 56 minutes
Epoch: 62 | train MSE: 0.019203 | val MSE: 0.029122 | total time: 4 hours 0 minutes
Epoch: 63 | train MSE: 0.019156 | val MSE: 0.029414 | total time: 4 hours 3 minutes
Epoch: 64 | train MSE: 0.018952 | val MSE: 0.029914 | total time: 4 hours 7 minutes
Epoch: 65 | train MSE: 0.018981 | val MSE: 0.034066 | total time: 4 hours 10 minutes
Epoch: 66 | train MSE: 0.018625 | val MSE: 0.031269 | total time: 4 hours 14 minutes
Epoch: 67 | train MSE: 0.018429 | val MSE: 0.028852 | total time: 4 hours 17 minutes
Epoch: 68 | train MSE: 0.018688 | val MSE: 0.029271 | total time: 4 hours 21 minutes
Epoch: 69 | train MSE: 0.018521 | val MSE: 0.032885 | total time: 4 hours 24 minutes
Epoch: 70 | train MSE: 0.018252 | val MSE: 0.029423 | total time: 4 hours 28 minutes
Epoch: 71 | train MSE: 0.018431 | val MSE: 0.028004 | total time: 4 hours 31 minutes
Epoch: 72 | train MSE: 0.017727 | val MSE: 0.027719 | total time: 4 hours 35 minutes
Epoch: 73 | train MSE: 0.018063 | val MSE: 0.029098 | total time: 4 hours 38 minutes
Epoch: 74 | train MSE: 0.017940 | val MSE: 0.029212 | total time: 4 hours 42 minutes
Epoch: 75 | train MSE: 0.017609 | val MSE: 0.027839 | total time: 4 hours 45 minutes
Epoch: 76 | train MSE: 0.017551 | val MSE: 0.027628 | total time: 4 hours 49 minutes
Epoch: 77 | train MSE: 0.017660 | val MSE: 0.028054 | total time: 4 hours 52 minutes
Epoch: 78 | train MSE: 0.017429 | val MSE: 0.029544 | total time: 4 hours 56 minutes
Epoch: 79 | train MSE: 0.017333 | val MSE: 0.028456 | total time: 4 hours 59 minutes
Epoch: 80 | train MSE: 0.017181 | val MSE: 0.029605 | total time: 5 hours 3 minutes
