model	patient	ref	tgt	L1_pred	L1_zero	L1_oracle	alpha_oracle	cos	amp_ratio	ratio_pred	ratio_oracle
E1_Decoder	P3	5	8	0.4634944796562195	0.567070722579956	0.4636837840080261	0.9390841346054136	0.6257016509646524	0.5858265218136461	0.8173486325435669	0.8176824610137539
E1_Decoder	P3	5	9	0.5330045223236084	0.8269080519676208	0.5322808027267456	1.0138549140928506	0.7941386527768418	0.7165382037991187	0.6445753201402847	0.6437001084463839
E1_Decoder	P3	5	10	0.5882689356803894	1.0490769147872925	0.5855534672737122	1.0482171236297877	0.8621375082878474	0.7942684054034171	0.5607490998881287	0.5581606639322886
E1_Decoder	P3	6	1	0.6223847270011902	1.205067753791809	0.6155226826667786	1.1100548318421704	0.8950720958534397	0.8082554173482335	0.5164728083071046	0.5107784858818137
E1_Decoder	P3	6	2	0.5161935091018677	0.978554368019104	0.5161817669868469	0.996969665341111	0.8806644720945	0.8839815309090179	0.5275062132181808	0.5274942137673537
E1_Decoder	P3	6	3	0.3418290317058563	0.6317434310913086	0.3362179100513458	0.9072911559935596	0.8745085788011268	0.9421590730292078	0.5410883831674544	0.5322064203668004
E1_Decoder	P3	6	4	0.2188759595155716	0.37127378582954407	0.2185729593038559	0.9804620541914725	0.8413512461245433	0.8268884987160944	0.5895271033653315	0.588710993466706
E1_Decoder	P3	6	5	0.15552584826946259	0.2027732878923416	0.1548077017068863	1.2247567982980472	0.6531899375722089	0.5161272949481612	0.7669937686863167	0.7634521455758922
E1_Decoder	P3	6	7	0.3131740689277649	0.35527464747428894	0.309360146522522	1.570874553061497	0.5365144392005765	0.29215268036722697	0.8814985002565632	0.8707633621532486
E1_Decoder	P3	6	8	0.4914838969707489	0.6202219128608704	0.48958396911621094	0.8508230856717554	0.6691583647330553	0.6637361166499932	0.7924323323303795	0.7893690289946843
E1_Decoder	P3	6	9	0.5568632483482361	0.9107531309127808	0.5577712059020996	0.9354611338733929	0.815316020693426	0.8083755561231203	0.6114316047314963	0.6124285352091918
E1_Decoder	P3	6	10	0.6321807503700256	1.144047737121582	0.6321044564247131	1.0026563078417638	0.8608959490744329	0.8346829849303617	0.5525824927206175	0.5525158049917432
E1_Decoder	P3	7	1	0.5003044605255127	0.9946310520172119	0.5006865859031677	1.0092176060039342	0.9008236108317899	0.9183565456937787	0.503005068573764	0.503389256637147
E1_Decoder	P3	7	2	0.38364386558532715	0.7807157039642334	0.37329235672950745	0.9166912251512767	0.9071265939501565	1.0122887159346237	0.49140021602908973	0.47814121687836436
E1_Decoder	P3	7	3	0.34238478541374207	0.5216624140739441	0.31858181953430176	0.7964027830067744	0.8211656815252867	1.0745057430529315	0.6563340125271322	0.6107049519752131
E1_Decoder	P3	7	4	0.2878771424293518	0.3436887860298157	0.27934592962265015	0.7300510295007412	0.6342430468108581	0.8953010757772787	0.8376099370445502	0.8127874431096985
E1_Decoder	P3	7	5	0.3243647813796997	0.3728466033935547	0.32426556944847107	1.0280271948921864	0.47749433858440166	0.4665698542030621	0.8699684492963439	0.8697023561354417
E1_Decoder	P3	7	6	0.32049691677093506	0.36613306403160095	0.31653472781181335	1.4609316458206345	0.5368195731483338	0.3145152683833238	0.8753563888544984	0.8645346703363923
E1_Decoder	P3	7	8	0.2713358700275421	0.3636649250984192	0.26873382925987244	0.892733088506976	0.6987894191059496	0.706841214915929	0.7461150397006532	0.7389599895759664
E1_Decoder	P3	7	9	0.38439515233039856	0.6288103461265564	0.37747177481651306	0.8773488306303943	0.8379724858385454	0.9227660833206558	0.6113053875437252	0.6002951082814115
E1_Decoder	P3	7	10	0.4486508071422577	0.8985799551010132	0.4484270513057709	1.033408374768961	0.8951224659067117	0.8658906796491341	0.4992886883302699	0.49903967783853054
E1_Decoder	P3	8	1	0.3499907851219177	0.658214807510376	0.34873440861701965	0.9831865882972904	0.890040477872454	0.9433571325856244	0.5317273041086978	0.5298185404489283
E1_Decoder	P3	8	2	0.3173147439956665	0.45937642455101013	0.28046199679374695	0.7364711797491174	0.8346611276420732	1.2048099208795053	0.6907510421454621	0.610527623545043
E1_Decoder	P3	8	3	0.3272814154624939	0.3538624942302704	0.2852526307106018	0.5700209952449847	0.6170853032338667	1.0994385676101401	0.9248830288567421	0.8061115132619231
E1_Decoder	P3	8	4	0.39809054136276245	0.42962393164634705	0.37776651978492737	0.6379677229095105	0.4676639974016891	0.7418292005385461	0.9266023422793358	0.8792958025808789
E1_Decoder	P3	8	5	0.4713355600833893	0.5766968131065369	0.4698284864425659	0.915689006977152	0.6392404824848634	0.6305586207786938	0.8173021757210863	0.8146888898374605
E1_Decoder	P3	8	6	0.5071983933448792	0.6428312659263611	0.5072175860404968	0.969809224895045	0.6785992351111165	0.6058667624439226	0.7890070384395098	0.789036894945618
E1_Decoder	P3	8	7	0.27435237169265747	0.36406078934669495	0.271952360868454	0.8679839011321258	0.6927050617773525	0.7117504970714315	0.7535894546209749	0.7469971192351447
