patient	ref	tgt	L1_atlas	L1_zero	L1_atlas_oracle	alpha_oracle	cos	ratio_atlas	ratio_oracle
P1	10	2	0.327859103679657	0.3632638156414032	0.327750027179718	1.8279173078891313	0.5150058912343	0.9025371907762593	0.9022369227747619
P1	10	3	0.5271278619766235	0.6596536636352539	0.5125202536582947	1.707942402201133	0.736887493089504	0.799097907031547	0.7769535468564993
P1	10	4	0.6791362166404724	0.8801599740982056	0.6653944849967957	1.5604801021860684	0.7640987930015263	0.7716054315424896	0.7559926656271159
P1	10	5	0.7759993672370911	1.033815622329712	0.7583141326904297	1.5422872456393137	0.7854577992967224	0.7506167932424644	0.7335100343923635
P1	10	6	0.7949343919754028	1.0824484825134277	0.7706876993179321	1.5055863945396843	0.8009901829441741	0.7343854278677339	0.7119855695380605
P1	10	7	0.5410754680633545	0.786264955997467	0.5388312935829163	1.1933318271613533	0.8210206925733052	0.6881592063033489	0.6853049846274112
P1	10	8	0.2975407540798187	0.47214940190315247	0.2974715828895569	0.9973950544517923	0.8412905684975986	0.6301834819243305	0.6300369791648586
P1	10	9	0.15276925265789032	0.20738500356674194	0.14438025653362274	0.8268602281786205	0.7789418377105897	0.7366456109673579	0.6961942958771239
P2	1	2	0.18962134420871735	0.13155412673950195	0.12520970404148102	0.2676056592146458	0.3695687751937036	1.4413941159306822	0.9517732901637977
P2	1	3	0.44511666893959045	0.3099147379398346	0.284826397895813	0.3308521558731758	0.5165712112204366	1.4362552484548292	0.9190476057679705
P2	1	4	0.6672492623329163	0.47675660252571106	0.4336211085319519	0.35322231136507165	0.5384723112796237	1.3995595630936901	0.9095230275464661
P2	1	5	0.8524473905563354	0.5973273515701294	0.5559597611427307	0.3370506303737204	0.504853905083334	1.427102556605854	0.9307455278606275
P2	1	6	0.9470804333686829	0.6668640375137329	0.6252734661102295	0.3325533076591628	0.4794555101019287	1.4202001908810076	0.9376326071524783
P2	1	7	0.8786367774009705	0.70693439245224	0.6538437008857727	0.3889124776576955	0.47164060586785	1.2428830550358754	0.9249001150130717
P2	1	8	0.6466025114059448	0.6558286547660828	0.5694577693939209	0.5832779360162348	0.5535774102596474	0.9859320825750917	0.8683026660325354
P2	1	9	0.3603939414024353	0.4507640302181244	0.35544589161872864	0.8780301174083378	0.6651570757008218	0.7995179678113201	0.7885409389181489
P2	1	10	0.1480182409286499	0.18038304150104523	0.14885157346725464	1.4069815516832784	0.6664788433232689	0.8205773652385843	0.825197159492358
P2	2	1	0.19443534314632416	0.12920767068862915	0.12467387318611145	0.24519499354182583	0.35191012772459124	1.5048281739780278	0.9649107713314988
P2	2	3	0.22040143609046936	0.17513582110404968	0.1539812535047531	0.4448204234837175	0.6344008125353199	1.2584600608891254	0.8792105037910636
P2	2	4	0.43378424644470215	0.3624195158481598	0.31611019372940063	0.4628137516025536	0.6271335335139542	1.1969119417576881	0.8722217758875849
P2	2	5	0.6271124482154846	0.4982156455516815	0.44700270891189575	0.42107249832074556	0.5686455303322395	1.2587168905967892	0.8972072894598143
