scan	P	lung_vox	id_absmean_vox	mean_mag_all_mm	mag_01_to_06_mm	max_pair	max_mag_mm	abs_LR_01_06	abs_AP_01_06	abs_SI_01_06	fold_frac_mean
S40	113	697829	0.0	2.3527464992470213	4.727436542510986	06_to_01	4.803616523742676	1.0496152639389038	1.8304176330566406	3.8627777099609375	0.0
S41	113	681428	0.0	2.076901596784592	3.641700267791748	01_to_05	3.6501221656799316	0.8604730367660522	1.3940057754516602	2.8762004375457764	0.0
S42	113	637742	0.0	2.136248556772868	4.0025715827941895	01_to_07	4.07715368270874	0.9346399903297424	1.6300089359283447	3.1327762603759766	9.087604507451834e-05
S43	113	641841	0.0	1.707852214243677	3.372028350830078	06_to_01	3.3798346519470215	0.7079816460609436	1.2598896026611328	2.7129127979278564	0.0
S44	113	663628	0.0	2.145518308877945	4.572521209716797	01_to_06	4.572521209716797	0.987670361995697	1.793532133102417	3.6895718574523926	0.0
S45	114	1376632	0.0	3.2534529871410793	6.989368438720703	01_to_06	6.989368438720703	1.5234084129333496	2.211121082305908	5.862088203430176	0.0
S46	114	1434925	0.0	2.8751839107937283	6.060507774353027	06_to_01	6.256959915161133	1.703054666519165	1.9657680988311768	4.8394975662231445	0.0
S47	114	1464676	0.0	3.271925767262777	7.145371437072754	01_to_06	7.145371437072754	1.2587827444076538	2.421387195587158	6.077848434448242	0.0
S48	114	1556837	0.0	2.0378476834959454	4.47969913482666	01_to_06	4.47969913482666	0.7537355422973633	1.381920576095581	3.8965303897857666	0.0
S49	114	1446043	0.0	3.880574423074722	8.146245002746582	06_to_01	8.233220100402832	1.568578839302063	3.1024467945098877	6.785940170288086	0.00010830232913714898
S50	115	769000	0.0	3.1348784615596137	7.123707294464111	01_to_06	7.123707294464111	1.401397943496704	3.456224203109741	5.57232141494751	0.00018850777247310287
S51	115	778766	0.0	2.6222246183289424	6.855485439300537	01_to_06	6.855485439300537	1.6309740543365479	3.437255859375	5.1335906982421875	0.0009213182479695789
S52	115	783162	0.0	2.870701818333732	6.33783483505249	06_to_01	6.514965057373047	1.6862040758132935	2.9604616165161133	4.786307334899902	3.495118484516625e-05
S53	115	806795	0.0	3.801899152331882	9.51496696472168	01_to_06	9.51496696472168	1.9835197925567627	4.307425498962402	7.6158342361450195	0.00041572184429327285
S54	115	800174	0.0	4.048975511391958	9.980393409729004	01_to_06	9.980393409729004	2.020012617111206	4.59033203125	7.978299140930176	0.0006765256984747767
S55	115	804903	0.0	3.814955519636472	9.354211807250977	01_to_06	9.354211807250977	2.0145761966705322	4.409732341766357	7.381481170654297	0.00031241124680488503
S56	116	1034557	0.0	4.134030340115229	9.38570499420166	06_to_01	9.508316993713379	1.3503766059875488	4.433111667633057	7.6449785232543945	0.0002835170287415388
S57	116	1019405	0.0	3.431700200504727	7.17753267288208	01_to_07	7.583369255065918	1.2008922100067139	3.581247568130493	5.574844837188721	5.972912840269378e-06
S58	116	1044371	0.0	2.9035817477438184	6.439541339874268	01_to_07	6.614941596984863	1.3795084953308105	3.3894336223602295	4.76083517074585	0.0016348191600220122
S59	116	998566	0.0	4.053878740469615	8.742783546447754	01_to_07	9.216996192932129	1.379196047782898	3.990694046020508	7.140138149261475	0.00012804097311139566
S60	116	1033941	0.0	4.21026437415017	9.26820182800293	01_to_06	9.26820182800293	1.4931151866912842	3.7099809646606445	7.9396538734436035	0.00014440731113586665
S61	117	683369	0.0	3.0009157280127208	5.115533828735352	10_to_06	5.438392639160156	0.9466860890388489	1.6862449645996094	4.32911491394043	0.0
S62	117	765635	0.0	3.513269120454788	7.590072154998779	01_to_06	7.590072154998779	2.103235960006714	2.562725782394409	6.177010536193848	0.0
S63	117	835486	0.0	3.107688661747509	6.941686630249023	01_to_06	6.941686630249023	1.588104248046875	2.274064302444458	5.855026721954346	3.832298612707902e-05
S64	117	845305	0.0	3.913089570734236	8.746878623962402	01_to_06	8.746878623962402	2.298062324523926	3.7016241550445557	6.8753557205200195	1.4410363933741148e-05
S65	117	726430	0.0	2.7295957969294653	5.389005661010742	01_to_06	5.389005661010742	1.3448539972305298	1.8957898616790771	4.3367414474487305	6.328392967889735e-06
S66	117	775069	0.0	3.4073281513320075	7.1433587074279785	01_to_06	7.1433587074279785	1.445562720298767	2.2610013484954834	6.097184181213379	3.146286595245961e-05
S67	117	738839	0.0	2.907159321837955	6.18339729309082	01_to_07	6.283106803894043	1.476330280303955	1.99968683719635	5.109962463378906	0.0
S68	117	857157	0.0	3.273698037862778	7.34585428237915	01_to_06	7.34585428237915	2.082160472869873	2.6600608825683594	5.772262096405029	0.0005808067352267278
S69	118	431451	0.0	3.0868833674324883	6.405248165130615	07_to_01	6.945985794067383	1.387783169746399	2.167447090148926	5.261835098266602	0.00011728829462819609
S70	118	436407	0.0	3.1726252052519057	6.615668296813965	06_to_10	7.0904927253723145	1.651389241218567	2.1366424560546875	5.466855049133301	0.0002995785000174174
S71	118	464750	0.0	3.3601300001144407	6.962571620941162	07_to_01	8.167539596557617	1.54648756980896	2.3037612438201904	5.790596961975098	0.00022779494493304806
S72	118	432992	0.0	3.6257625295056237	7.497298240661621	07_to_01	9.553637504577637	1.735689401626587	2.4577977657318115	6.201834201812744	0.0003481747204051488
